Controller,timestamp,availability
FLOODLIGHT,04/23/15 11:52:56,0
OPENDAYLICHT,04/23/15 11:53:59,0
POX,04/23/15 11:54:04,100
RYU,04/23/15 11:54:04,0
FLOODLIGHT,04/23/15 11:54:04,0
OPENDAYLICHT,04/23/15 11:55:07,0
POX,04/23/15 11:55:12,100
RYU,04/23/15 11:55:12,0
FLOODLIGHT,04/23/15 11:55:12,0
OPENDAYLICHT,04/23/15 11:56:15,0
POX,04/23/15 11:56:20,100
RYU,04/23/15 11:56:20,0
FLOODLIGHT,04/23/15 11:56:20,0
OPENDAYLICHT,04/23/15 11:56:43,0
POX,04/23/15 11:56:48,100
RYU,04/23/15 11:56:48,0
FLOODLIGHT,04/23/15 11:56:48,0
OPENDAYLICHT,04/23/15 11:56:58,0
POX,04/23/15 20:46:26,100
RYU,04/23/15 20:46:26,0
FLOODLIGHT,04/23/15 20:46:26,0
OPENDAYLICHT,04/23/15 20:46:31,0
POX,04/23/15 20:46:36,100
RYU,04/23/15 20:46:36,0
FLOODLIGHT,04/23/15 20:46:36,0
OPENDAYLICHT,04/23/15 20:47:39,0
POX,04/23/15 20:47:44,100
RYU,04/23/15 20:47:44,0
FLOODLIGHT,04/23/15 20:47:44,0
OPENDAYLICHT,04/23/15 20:48:47,0
POX,04/23/15 20:48:52,100
RYU,04/23/15 20:48:53,100
FLOODLIGHT,04/23/15 20:48:53,0
OPENDAYLICHT,04/23/15 20:49:56,0
POX,04/23/15 20:50:01,100
RYU,04/23/15 20:50:01,100
FLOODLIGHT,04/23/15 20:50:01,0
OPENDAYLICHT,04/23/15 20:51:04,0
POX,04/23/15 20:51:09,100
RYU,04/23/15 20:51:09,100
FLOODLIGHT,04/23/15 20:51:09,0
OPENDAYLICHT,04/23/15 20:52:12,0
POX,04/23/15 20:52:17,100
RYU,04/23/15 20:52:17,100
FLOODLIGHT,04/23/15 20:52:17,0
OPENDAYLICHT,04/23/15 20:53:20,0
POX,04/23/15 20:53:25,100
RYU,04/23/15 20:53:25,100
FLOODLIGHT,04/23/15 20:53:26,0
OPENDAYLICHT,04/23/15 20:54:29,0
POX,04/23/15 20:54:34,100
RYU,04/23/15 20:54:34,100
FLOODLIGHT,04/23/15 20:54:34,0
OPENDAYLICHT,04/23/15 20:55:37,0
POX,04/23/15 20:55:42,100
RYU,04/23/15 20:55:42,100
FLOODLIGHT,04/23/15 20:55:42,0
OPENDAYLICHT,04/23/15 20:56:45,0
POX,04/23/15 20:56:50,100
RYU,04/23/15 20:56:50,100
FLOODLIGHT,04/23/15 20:56:50,0
OPENDAYLICHT,04/23/15 20:57:53,0
POX,04/23/15 20:57:58,100
RYU,04/23/15 20:57:58,100
FLOODLIGHT,04/23/15 20:57:58,0
OPENDAYLICHT,04/23/15 20:59:01,0
POX,04/23/15 20:59:07,100
RYU,04/23/15 20:59:07,100
FLOODLIGHT,04/23/15 20:59:07,0
OPENDAYLICHT,04/23/15 21:00:10,0
POX,04/23/15 21:00:15,100
RYU,04/23/15 21:00:15,100
FLOODLIGHT,04/23/15 21:00:15,0
OPENDAYLICHT,04/23/15 21:01:18,0
POX,04/23/15 21:01:23,100
RYU,04/23/15 21:01:23,100
FLOODLIGHT,04/23/15 21:01:23,0
OPENDAYLICHT,04/23/15 21:02:26,0
POX,04/23/15 21:02:31,100
RYU,04/23/15 21:02:31,100
FLOODLIGHT,04/23/15 21:02:31,0
OPENDAYLICHT,04/23/15 21:03:34,0
POX,04/23/15 21:03:39,100
RYU,04/23/15 21:03:39,100
FLOODLIGHT,04/23/15 21:03:40,0
OPENDAYLICHT,04/23/15 21:04:43,0
POX,04/23/15 21:04:48,100
RYU,04/23/15 21:04:48,100
FLOODLIGHT,04/23/15 21:04:48,0
OPENDAYLICHT,04/23/15 21:05:51,0
POX,04/23/15 21:05:56,100
RYU,04/23/15 21:05:56,100
FLOODLIGHT,04/23/15 21:05:56,0
OPENDAYLICHT,04/23/15 21:06:59,0
POX,04/23/15 21:07:04,100
RYU,04/23/15 21:07:04,100
FLOODLIGHT,04/23/15 21:07:04,0
POX,04/23/15 21:34:38,100
RYU,04/23/15 21:34:38,100
FLOODLIGHT,04/23/15 21:34:38,100
OPENDAYLICHT,04/23/15 21:35:41,0
POX,04/23/15 21:35:46,100
RYU,04/23/15 21:35:47,100
FLOODLIGHT,04/23/15 21:35:47,100
OPENDAYLICHT,04/23/15 21:36:50,0
POX,04/23/15 21:36:55,100
RYU,04/23/15 21:36:55,100
FLOODLIGHT,04/23/15 21:36:55,100
OPENDAYLICHT,04/23/15 21:37:58,0
POX,04/23/15 21:38:03,100
RYU,04/23/15 21:38:03,100
FLOODLIGHT,04/23/15 21:38:03,100
OPENDAYLICHT,04/23/15 21:39:06,0
POX,04/23/15 21:39:11,100
RYU,04/23/15 21:39:11,100
FLOODLIGHT,04/23/15 21:39:11,100
POX,04/23/15 21:43:20,100
RYU,04/23/15 21:43:20,100
FLOODLIGHT,04/23/15 21:43:20,100
OPENDAYLICHT,04/23/15 21:44:23,0
POX,04/23/15 21:45:18,100
RYU,04/23/15 21:45:19,100
FLOODLIGHT,04/23/15 21:45:19,100
POX,04/23/15 21:53:04,100
RYU,04/23/15 21:53:04,100
FLOODLIGHT,04/23/15 21:53:04,100
OPENDAYLICHT,04/23/15 21:54:07,0
POX,04/23/15 21:54:12,100
RYU,04/23/15 21:54:12,100
FLOODLIGHT,04/23/15 21:54:12,100
POX,04/23/15 22:24:23,100
RYU,04/23/15 22:24:23,100
FLOODLIGHT,04/23/15 22:24:23,100
POX,04/23/15 22:25:16,100
RYU,04/23/15 22:25:16,100
FLOODLIGHT,04/23/15 22:25:16,100
OPENDAYLICHT,04/23/15 22:25:20,0
OPENDAYLICHT,04/23/15 22:25:26,0
POX,04/23/15 22:25:31,100
RYU,04/23/15 22:25:31,100
FLOODLIGHT,04/23/15 22:25:31,100
OPENDAYLICHT,04/23/15 22:26:34,0
POX,04/23/15 22:26:40,100
RYU,04/23/15 22:26:40,100
FLOODLIGHT,04/23/15 22:26:40,100
OPENDAYLICHT,04/23/15 22:27:43,0
POX,04/23/15 22:27:48,100
RYU,04/23/15 22:27:48,100
FLOODLIGHT,04/23/15 22:27:48,100
OPENDAYLICHT,04/23/15 22:28:51,0
POX,04/23/15 22:28:56,100
RYU,04/23/15 22:28:56,100
FLOODLIGHT,04/23/15 22:28:56,100
OPENDAYLICHT,04/23/15 22:29:59,0
POX,04/23/15 22:30:04,100
RYU,04/23/15 22:30:04,100
FLOODLIGHT,04/23/15 22:30:04,100
OPENDAYLICHT,04/23/15 22:31:07,0
POX,04/23/15 22:31:12,100
RYU,04/23/15 22:31:12,100
FLOODLIGHT,04/23/15 22:31:12,100
OPENDAYLICHT,04/23/15 22:31:24,0
POX,04/23/15 22:40:49,100
RYU,04/23/15 22:40:49,100
FLOODLIGHT,04/23/15 22:40:49,100
OPENDAYLICHT,04/23/15 22:40:49,100
POX,04/23/15 22:40:55,100
RYU,04/23/15 22:40:55,100
FLOODLIGHT,04/23/15 22:40:55,100
OPENDAYLICHT,04/23/15 22:40:55,100
POX,04/23/15 22:41:00,100
RYU,04/23/15 22:41:00,100
FLOODLIGHT,04/23/15 22:41:00,100
OPENDAYLICHT,04/23/15 22:41:00,100
POX,04/23/15 22:41:05,100
RYU,04/23/15 22:41:05,100
FLOODLIGHT,04/23/15 22:41:05,100
OPENDAYLICHT,04/23/15 22:41:05,100
POX,04/23/15 22:41:10,100
RYU,04/23/15 22:41:11,100
FLOODLIGHT,04/23/15 22:41:11,100
OPENDAYLICHT,04/23/15 22:41:11,100
POX,04/23/15 22:41:16,100
RYU,04/23/15 22:41:16,100
FLOODLIGHT,04/23/15 22:41:16,100
OPENDAYLICHT,04/23/15 22:41:16,100
POX,04/23/15 22:43:05,100
RYU,04/23/15 22:43:05,100
FLOODLIGHT,04/23/15 22:43:05,100
OPENDAYLICHT,04/23/15 22:43:05,100
POX,04/23/15 22:43:10,100
RYU,04/23/15 22:43:10,100
FLOODLIGHT,04/23/15 22:43:10,100
OPENDAYLICHT,04/23/15 22:43:10,100
POX,04/23/15 22:43:15,100
RYU,04/23/15 22:43:16,100
FLOODLIGHT,04/23/15 22:43:16,100
OPENDAYLICHT,04/23/15 22:43:16,100
POX,04/23/15 22:43:21,100
RYU,04/23/15 22:43:21,100
FLOODLIGHT,04/23/15 22:43:21,100
OPENDAYLICHT,04/23/15 22:43:21,100
POX,04/23/15 22:43:26,100
RYU,04/23/15 22:43:26,100
FLOODLIGHT,04/23/15 22:43:26,100
OPENDAYLICHT,04/23/15 22:43:26,100
POX,04/23/15 22:43:31,100
RYU,04/23/15 22:43:31,100
FLOODLIGHT,04/23/15 22:43:31,100
OPENDAYLICHT,04/23/15 22:43:31,100
POX,04/23/15 22:43:36,100
RYU,04/23/15 22:43:37,100
FLOODLIGHT,04/23/15 22:43:37,100
OPENDAYLICHT,04/23/15 22:43:37,100
POX,04/23/15 22:43:42,100
RYU,04/23/15 22:43:42,100
FLOODLIGHT,04/23/15 22:43:42,100
OPENDAYLICHT,04/23/15 22:43:42,100
POX,04/23/15 22:43:47,100
RYU,04/23/15 22:43:47,100
FLOODLIGHT,04/23/15 22:43:47,100
OPENDAYLICHT,04/23/15 22:43:47,100
POX,04/23/15 22:43:52,100
RYU,04/23/15 22:43:52,100
FLOODLIGHT,04/23/15 22:43:52,100
OPENDAYLICHT,04/23/15 22:43:52,100
POX,04/23/15 22:43:57,100
RYU,04/23/15 22:43:58,100
FLOODLIGHT,04/23/15 22:43:58,100
OPENDAYLICHT,04/23/15 22:43:58,100
POX,04/23/15 22:44:03,100
RYU,04/23/15 22:44:03,100
